disease	dgnum	dgingraph	lccnum	lccratio	zscore	pvalue
DOID:1107	562	534	422	0.7902621722846442	8.75114000457	9.999000099990002e-05
DOID:231	30	30	8	0.26666666666666666	7.3212974882	0.0008999100089991
DOID:987	35	31	7	0.22580645161290322	6.05591085847	0.0028997100289971
DOID:0050127	45	44	5	0.11363636363636363	2.24287825032	0.04889511048895111
DOID:14203	10	10	1	0.1	-0.293094568535	1.0
DOID:178	100	100	52	0.52	11.7521628164	9.999000099990002e-05
DOID:4947	62	62	29	0.46774193548387094	13.3814048293	9.999000099990002e-05
DOID:234	28	28	2	0.07142857142857142	0.474714339971	0.46805319468053197
DOID:3963	206	204	170	0.8333333333333334	11.0069690472	9.999000099990002e-05
DOID:12449	45	45	13	0.28888888888888886	8.39058756562	0.00029997000299970003
DOID:3007	70	70	48	0.6857142857142857	19.394665757	9.999000099990002e-05
DOID:9884	26	26	5	0.19230769230769232	4.49703645619	0.008999100089991
DOID:8584	31	31	15	0.4838709677419355	15.2077870259	9.999000099990002e-05
DOID:10283	1157	1106	959	0.8670886075949367	10.4315577062	9.999000099990002e-05
DOID:1417	11	10	2	0.2	2.97440340844	0.08409159084091591
DOID:8923	21	19	7	0.3684210526315789	10.1023832128	0.00029997000299970003
DOID:12785	61	61	9	0.14754098360655737	3.1619913302	0.023497650234976502
DOID:2571	10	10	5	0.5	12.7768973394	9.999000099990002e-05
DOID:9415	36	36	4	0.1111111111111111	1.98253997347	0.06329367063293671
DOID:13372	27	27	2	0.07407407407407407	0.516071125222	0.44915508449155084
DOID:594	69	64	4	0.0625	0.378300711864	0.2960703929607039
DOID:14219	10	10	7	0.7	19.3118932933	9.999000099990002e-05
DOID:13197	12	10	2	0.2	2.97440340844	0.08409159084091591
DOID:655	27	25	4	0.16	3.3816147097	0.019598040195980403
DOID:1742	71	68	18	0.2647058823529412	6.81520750498	0.000999900009999
DOID:204	20	20	4	0.2	4.39351429213	0.009999000099990002
DOID:850	110	105	25	0.23809523809523808	4.37611045169	0.0053994600539946005
DOID:700	22	20	1	0.05	-0.548386227682	1.0
DOID:399	126	120	47	0.39166666666666666	7.29539403488	9.999000099990002e-05
DOID:4074	52	51	32	0.6274509803921569	19.7812110304	9.999000099990002e-05
DOID:3861	40	40	18	0.45	13.8967917932	9.999000099990002e-05
DOID:10907	23	22	5	0.22727272727272727	5.47321203947	0.0033996600339966003
DOID:11077	23	21	4	0.19047619047619047	4.07425894873	0.013098690130986902
DOID:2738	17	17	3	0.17647058823529413	3.32466540289	0.026297370262973702
DOID:593	11	11	1	0.09090909090909091	-0.324848052456	1.0
DOID:1024	55	50	18	0.36	10.5805753945	9.999000099990002e-05
DOID:3068	171	170	133	0.7823529411764706	11.9823270262	9.999000099990002e-05
DOID:0002116	14	14	6	0.42857142857142855	11.4566369536	0.00019998000199980003
DOID:10320	10	10	2	0.2	2.97440340844	0.08409159084091591
DOID:8719	23	23	18	0.782608695652174	23.6761623177	9.999000099990002e-05
DOID:12205	19	19	5	0.2631578947368421	6.56209717865	0.0021997800219978004
DOID:8970	27	26	6	0.23076923076923078	5.79634490039	0.0031996800319968005
DOID:345	14	14	3	0.21428571428571427	4.34586611243	0.014498550144985502
DOID:8619	15	14	4	0.2857142857142857	6.71612305949	0.0018998100189981002
DOID:11132	68	64	24	0.375	10.455570607	9.999000099990002e-05
DOID:1508	19	18	5	0.2777777777777778	6.74692524468	0.0017998200179982
DOID:83	45	44	10	0.22727272727272727	6.32633280794	0.0025997400259974
DOID:10588	32	31	3	0.0967741935483871	1.47997277473	0.11898810118988101
DOID:2800	39	39	10	0.2564102564102564	7.04096685457	0.0015998400159984002
DOID:3526	97	97	48	0.4948453608247423	11.5029586556	9.999000099990002e-05
DOID:10646	11	11	2	0.18181818181818182	2.58337085941	0.10318968103189681
DOID:1485	119	115	34	0.2956521739130435	5.4787835303	0.00039996000399960006
DOID:9562	19	17	2	0.11764705882352941	1.41930383323	0.22177782221777823
DOID:8534	26	25	3	0.12	2.0298339655	0.07329267073292671
DOID:2986	167	167	46	0.2754491017964072	3.32080934789	0.005499450054994501
DOID:13593	16	16	2	0.125	1.58550887673	0.18908109189081093
DOID:11723	21	20	4	0.2	4.39351429213	0.009999000099990002
DOID:2234	11	11	1	0.09090909090909091	-0.324848052456	1.0
DOID:12894	72	71	26	0.36619718309859156	9.78466601763	9.999000099990002e-05
DOID:11836	39	37	7	0.1891891891891892	4.75017485248	0.0065993400659934
DOID:14784	39	32	4	0.125	2.49253373384	0.041195880411958805
DOID:3459	125	123	91	0.7398373983739838	14.5232939676	9.999000099990002e-05
DOID:1037	395	373	243	0.6514745308310992	6.11159208853	9.999000099990002e-05
DOID:11465	13	13	4	0.3076923076923077	7.03251584559	0.0025997400259974
